Rank,Release Group,Worldwide,Domestic,%,Foreign,%
574,Masai: The Rain Warriors 2006 Re-release,"$7,650","$7,650",100%,-,-
575,loudQUIETloud: A Film About the Pixies,"$7,506","$7,506",100%,-,-
576,The Cult of the Suicide Bomber,"$7,451","$7,451",100%,-,-
577,Kettle of Fish,"$7,196","$7,196",100%,-,-
578,Saint of 9/11,"$7,137","$7,137",100%,-,-
579,"Sorry, Haters","$7,129","$7,129",100%,-,-
580,Mendy,"$7,123","$7,123",100%,-,-
581,We Go Way Back,"$6,529","$6,529",100%,-,-
582,Beyond Honor,"$6,437","$6,437",100%,-,-
583,Dreamland,"$6,383","$6,383",100%,-,-
584,Jailbait,"$5,741","$5,741",100%,-,-
585,Pizza,"$5,716","$5,716",100%,-,-
586,Unnatural & Accidental,"$5,420","$5,420",100%,-,-
587,Say Uncle,"$5,361","$5,361",100%,-,-
588,Hair High,"$5,342","$5,342",100%,-,-
589,Mouth to Mouth,"$5,318","$2,150",40.4%,"$3,168",59.6%
590,Room,"$5,228","$5,228",100%,-,-
591,King Leopold's Ghost,"$5,194","$5,194",100%,-,-
592,The Pusher Trilogy,"$4,815","$4,815",100%,-,-
593,50 Ways of Saying Fabulous,"$4,800","$4,800",100%,-,-
594,Street Fight,"$4,779","$4,779",100%,-,-
595,The Fall of Fujimori,"$4,630","$4,630",100%,-,-
596,The Dogwalker 2006 Re-release,"$4,604","$4,604",100%,-,-
597,The Tollbooth,"$4,546","$4,546",100%,-,-
598,Looking for Kitty,"$4,480","$4,480",100%,-,-
599,Cowboy del Amor,"$4,438","$4,438",100%,-,-
600,Coffee Date,"$4,412","$4,412",100%,-,-
601,Simon 2006 Re-release,"$4,055","$4,055",100%,-,-
602,Psychopathia Sexualis,"$4,012","$4,012",100%,-,-
603,Going Under,"$3,917","$3,917",100%,-,-
604,Shock to the System,"$3,768","$3,768",100%,-,-
605,Blossoms of Fire,"$3,365","$3,365",100%,-,-
606,Calvaire,"$3,260","$3,260",100%,-,-
607,95 Miles to Go,"$3,195","$3,195",100%,-,-
608,Four Eyed Monsters,"$3,135","$3,135",100%,-,-
609,Dog Lover's Symphony,"$2,968","$2,968",100%,-,-
610,Agnes and His Brothers 2006 Re-release,"$2,731","$2,731",100%,-,-
611,Out of Place: Memories of Edward Said,"$2,547","$2,547",100%,-,-
